delayTolerance, linkLeakage, delayCutoff, storageSize, dataSize.0, flow.0, dataSize.1, flow.1, dataSize.2, flow.2
64800, 0.3, 43200, 8e+12, 8e+16, 4.76712532673e+15, 8e+16, 7.54432976434e+13, 8e+16, 1.1975951907e+13
68400, 0.3, 43200, 8e+12, 8e+16, 5.35023171975e+15, 8e+16, 1.68715681157e+14, 8e+16, 4.88352001965e+13
72000, 0.3, 43200, 8e+12, 8e+16, 5.93333811278e+15, 8e+16, 2.61988064671e+14, 8e+16, 8.56944484861e+13
75600, 0.3, 43200, 8e+12, 8e+16, 6.51644450581e+15, 8e+16, 3.55260448185e+14, 8e+16, 1.22553696776e+14
79200, 0.3, 43200, 8e+12, 8e+16, 7.09955089883e+15, 8e+16, 4.48532831698e+14, 8e+16, 1.59412945065e+14
82800, 0.3, 43200, 8e+12, 8e+16, 7.1933046797e+15, 8e+16, 1.70070473727e+14, 8e+16, 7.91932413455e+14
86400, 0.3, 43200, 8e+12, 8e+16, 7.73491674405e+15, 8e+16, 2.01068650178e+14, 8e+16, 9.32560197478e+14
90000, 0.3, 43200, 8e+12, 8e+16, 8.27652880841e+15, 8e+16, 2.32066826629e+14, 8e+16, 1.0731879815e+15
93600, 0.3, 43200, 8e+12, 8e+16, 8.81814087276e+15, 8e+16, 2.6306500308e+14, 8e+16, 1.21381576552e+15
97200, 0.3, 43200, 8e+12, 8e+16, 9.35975293712e+15, 8e+16, 2.94063179531e+14, 8e+16, 1.35444354955e+15
100800, 0.3, 43200, 8e+12, 8e+16, 9.90136500147e+15, 8e+16, 3.25061355981e+14, 8e+16, 1.49507133357e+15
104400, 0.3, 43200, 8e+12, 8e+16, 1.04429770658e+16, 8e+16, 3.56059532432e+14, 8e+16, 1.63569911759e+15
108000, 0.3, 43200, 8e+12, 8e+16, 1.09845891302e+16, 8e+16, 3.87057708883e+14, 8e+16, 1.77632690162e+15
111600, 0.3, 43200, 8e+12, 8e+16, 1.15262011945e+16, 8e+16, 4.18055885334e+14, 8e+16, 1.91695468564e+15
115200, 0.3, 43200, 8e+12, 8e+16, 3.15389277361e+15, 8e+16, 3.48399948681e+15, 8e+16, 4.19432249914e+15
118800, 0.3, 43200, 8e+12, 8e+16, 1.25851589145e+16, 8e+16, 4.80052238236e+14, 8e+16, 2.19821025369e+15
122400, 0.3, 43200, 8e+12, 8e+16, 1.31267709789e+16, 8e+16, 5.11050414686e+14, 8e+16, 2.33883803771e+15
126000, 0.3, 43200, 8e+12, 8e+16, 1.7828865397e+15, 8e+16, 6.56151262414e+15, 8e+16, 4.49890137743e+15
129600, 0.3, 43200, 8e+12, 8e+16, 9.88514323254e+14, 8e+16, 6.43891212003e+15, 8e+16, 6.11450048889e+15
133200, 0.3, 43200, 8e+12, 8e+16, 6.6028505462e+13, 8e+16, 1.19807855094e+16, 8e+16, 2.44014974335e+15
136800, 0.3, 43200, 8e+12, 8e+16, 1.5317485645e+16, 8e+16, 6.3504312049e+14, 8e+16, 2.9013491738e+15
140400, 0.3, 43200, 8e+12, 8e+16, 1.58590977094e+16, 8e+16, 6.6604129694e+14, 8e+16, 3.04197695782e+15
144000, 0.3, 43200, 8e+12, 8e+16, 1.64007097737e+16, 8e+16, 6.97039473391e+14, 8e+16, 3.18260474185e+15
147600, 0.3, 43200, 8e+12, 8e+16, 1.69423218381e+16, 8e+16, 7.28037649842e+14, 8e+16, 3.32323252587e+15
151200, 0.3, 43200, 8e+12, 8e+16, 1.74839339024e+16, 8e+16, 7.59035826293e+14, 8e+16, 3.46386030989e+15
