delayTolerance, linkLeakage, delayCutoff, storageSize, dataSize.0, flow.0, dataSize.1, flow.1, dataSize.2, flow.2
691200, 0.0001, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00011, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00012, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00013, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00014, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00015, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00016, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00017, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00018, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00019, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0002, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00021, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00022, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00023, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00024, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00025, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00026, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00027, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00028, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00029, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0003, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00031, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00032, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00033, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00034, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00035, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00036, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00037, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00038, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00039, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0004, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00041, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00042, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00043, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00044, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00045, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00046, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00047, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00048, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00049, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0005, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00051, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00052, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00053, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00054, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00055, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00056, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
