beta;dA;dB;dC
-0.500000;0.05103103630798288;0.045083481733371615;0.039344473768231684
-0.490000;0.05415988082701583;0.047966397223100886;0.04197455167434755
-0.480000;0.05748056287733464;0.051033664085026166;0.04478044359269259
-0.470000;0.061004844513009436;0.05429707088129978;0.04777390224238753
-0.460000;0.06474520894999673;0.05776916000734343;0.05096746598190554
-0.450000;0.06871490478243569;0.0614632758965903;0.05437451132706295
-0.440000;0.07292799290995942;0.06539361630773521;0.058009308979703716
-0.430000;0.07739939634224101;0.06957528689160747;0.061887083601758965
-0.420000;0.08214495305718462;0.07402435924738562;0.06602407758505012
-0.410000;0.08718147209998889;0.07875793269128414;0.07043761908394115
-0.400000;0.09252679312178838;0.08379419997511041;0.07514619459580026
-0.390000;0.09819984956876311;0.0891525172072709;0.0801695263932808
-0.380000;0.10422073574553513;0.09485347824495727;0.08552865513275298
-0.370000;0.1106107779903952;0.10091899384342688;0.09124602798489895
-0.360000;0.11739261021446627;0.10737237586657591;0.09734559265661366
-0.350000;0.12459025407236783;0.11423842688245506;0.10385289769803069
-0.340000;0.13222920404835078;0.12154353548807437;0.11079519951481713
-0.330000;0.1403365177592827;0.12931577772986327;0.1182015765339681
-0.320000;0.14894091179434196;0.13758502500957928;0.1261030510012939
-0.310000;0.15807286343089139;0.14638305889038536;0.13453271892075916
-0.300000;0.16776471858681383;0.15574369324433465;0.1435258886799359
-0.290000;0.17805080639168455;0.16570290421071796;0.1531202289422154
-0.280000;0.1889675607825977;0.17629896846474818;0.1633559264252376
-0.270000;0.20055364955534652;0.1875726103279962;0.17427585422640732
-0.260000;0.2128501113280646;0.19956715828597377;0.1859257514005421
-0.250000;0.2259005009024615;0.21232871151441515;0.19835441454182914
-0.240000;0.2397510435375304;0.2259063170542743;0.21161390217254802
-0.230000;0.2544507986821753;0.2403521583163829;0.22575975279465932
-0.220000;0.270051833746708;0.2557217556402572;0.24085121751758676
-0.210000;0.2866094085287237;0.2720741796778699;0.2569515082365743
-0.200000;0.3041821709466034;0.2894722784224953;0.2741280624011348
-0.190000;0.3228323647739418;0.3079829187551763;0.2924528254825951
-0.180000;0.34262605011070973;0.3276772434371606;0.3120025523238775
-0.170000;0.363633337372072;0.34863094453601606;0.33285912863374717
-0.160000;0.3859286356236634;0.3709245543362958;0.355109913972131
-0.150000;0.4095909161429417;0.39464375485282305;0.3788481076631323
-0.140000;0.4347039921401668;0.4198797071361614;0.4041731391683991
-0.130000;0.4613568156297956;0.4467294016359057;0.4311910845559572
-0.120000;0.4896437925038272;0.4752960309683586;0.46001511080892615
-0.110000;0.519665116923109;0.5056893865212694;0.4907659498351402
-0.100000;0.551527126211036;0.5380262804199214;0.5235724041631066
-0.090000;0.5853426775066981;0.572430994476331;0.5585718864424508
-0.080000;0.6212315475116055;0.609035757847022;0.5959109950085932
-0.070000;0.6593208567459151;0.647981255235182;0.6357461279224591
-0.060000;0.6997455198169031;0.6894171675903925;0.67824413805718
-0.050000;0.742648723294558;0.7335027473840315;0.7235830319756729
-0.040000;0.7881824328869597;0.7804074306713278;0.7719527155264074
-0.030000;0.8365079317118903;0.8303114882924323;0.8235557892803507
-0.020000;0.8877963915712662;0.8834067187152977;0.8786083971408474
-0.010000;0.9422294792518794;0.9398971851831983;0.93734113168091
0.000000;1.0000000000000018;1.000000000000002;1.000000000000002
0.010000;1.0613125804490786;1.0639461589674732;1.0668474541458874
0.020000;1.1263843934194797;1.1319814291816377;1.1381634904175593
0.030000;1.1954459271575961;1.204367293600312;1.2142468221537681
0.040000;1.2687418017389671;1.2813819560121007;1.2954161309194792
0.050000;1.346531635527194;1.3633214102692996;1.3820114013309592
0.060000;1.4290909647576817;1.4505005778941376;1.4743953451105214
0.070000;1.5167122195034357;1.5432545184305648;1.5729549203357038
0.080000;1.6097057594798376;1.641939717193394;1.6781029522463897
0.090000;1.708400973357287;1.7469354553640475;1.790279862398755
0.100000;1.8131474454755363;1.8586452676986684;1.9099555134087578
0.110000;1.9243161940922928;1.9774984934510655;2.0376311770120306
0.120000;2.0423009855520373;2.1039519264712223;2.173841633683569
0.130000;2.1675197290299253;2.2384915708212683;2.3191574126116477
0.140000;2.300415956791033;2.3816345086563495;2.474187181408295
0.150000;2.4414603952081233;2.533930887549304;2.639580295565824
0.160000;2.5911526321025558;2.6959660348971175;2.816029518338043
0.170000;2.7500228863141807;2.868362707535552;3.0042739224386055
0.180000;2.918633885768121;3.0517834852079866;3.2051019857104994
0.190000;3.0975828606906797;3.2469333170874;3.4193548937331686
0.200000;3.287503659034458;3.4545622311386497;3.647930063200506
0.210000;3.4890689916056425;3.675468216734064;3.8917849008276986
0.220000;3.702992814845842;3.910500291601229;4.151940813531428
0.230000;3.930032859708431;4.1605617648903035;4.4294874866804
0.240000;4.170993315586819;4.426613708901963;4.725587448336042
0.250000;4.426727678801297;4.709678652818995;5.041480938601057
0.260000;4.698141775733956;5.010844512637864;5.378491104471547
0.270000;4.986196971319812;5.331268772404286;5.738029541951762
0.280000;5.2919135742588;5.672182932822766;6.121602208645118
0.290000;5.6163744510101035;6.034897244337628;6.530815731586874
0.300000;5.960728861369799;6.4208057428763965;6.967384136739355
0.310000;6.326196529217668;6.831391607609624;7.433136028336809
0.320000;6.714071962851996;7.268232861318878;7.930022248151183
0.330000;7.1257290402152496;7.7330084352813735;8.46012404676032
